LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Order Price($)
C7442639,VEJ101M1VTT-0607L,Lelon,,"SMD,D6.3xL7.7mm","100uF 35V ±20% SMD,D6.3xL7.7mm Aluminum Electrolytic Capacitors - SMD ROHS",YES,50,5\5,0.0874,4.37
C60633,SWPA6045S101MT,Sunlord,,-,-,-,50,-\-,0.0715,3.58
C2845383,HC-1.25-6PWT,HCTL,,"SMD,P=1.25mm,Surface Mount，Right Angle","1x6P 6P PicoBlade(MX 1.25) Tin 6 -40℃~+105℃ 1A 1 1.25mm Brass Horizontal attachment SMD,P=1.25mm,Surface Mount，Right Angle Wire To Board Connector ROHS",YES,50,5\5,0.072,3.60
C2845379,HC-1.25-2PWT,HCTL,,"SMD,P=1.25mm,Surface Mount，Right Angle","1x2P 2P PicoBlade(MX 1.25) Tin 2 -40℃~+105℃ 1A 1 1.25mm Brass Horizontal attachment SMD,P=1.25mm,Surface Mount，Right Angle Wire To Board Connector ROHS",YES,50,10\10,0.0474,2.37
C5160761,DZ127S-22-10-55,DEALON,,"SMD,P=1.27mm","Standing paste Policy 10P 1.27mm Double Row 2x5P SMD,P=1.27mm Pin Headers ROHS",YES,50,5\5,0.077,3.85
