Index,DigiKey Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,296-21527-1-ND,TXB0108PWR,IC TRANSLATOR BIDIR 20TSSOP,,6,0,$1.65000,$9.90
,,,,,,,Subtotal,$9.90
