LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Order Price($)
C513471,SS510,Slkor(SLKORMICRO Elec.),10,SMA(DO-214AC),100V 850mV@5A 5A SMA(DO-214AC) Schottky Diodes ROHS,YES,20,20\20,0.0338,0.68
C136648,LMR16030SDDAR,Texas Instruments,10,SO-8-EP,Step-down type Adjustable 800mV~50V 3A 4.3V~60V SO-8-EP DC-DC Converters ROHS,YES,5,1\1,0.8528,4.26
C433045,SPM6550T-4R7M-HZ,TDK,BUCK_CONVERTER,"SMD,7.1x6.5mm","5.8A 4.7uH ±20% 4.3A SMD,7.1x6.5mm Power Inductors ROHS",YES,6,1\1,0.4535,2.72
C5356635,GPS01-TD,G-NiceRF,GLCD,"SMD,9.9x10.1mm","SMD,9.9x10.1mm GNSS Modules ROHS",YES,9,1\1,5.6669,51.00
C130253,ABS07-32.768KHZ-T,Abracon LLC,???,SMD3215-2P,32.768kHz Surface Mount Crystal 12.5pF ±20ppm SMD3215-2P Crystals ROHS,YES,10,1\1,0.401,4.01
C2935953,DW127R-22-10-23,DEALON,,"Plugin,P=1.27mm","1A Direct Insert Policy 1mm 10P 3mm 2.3mm 1.27mm Double Row 1.27mm 2x5P Plugin,P=1.27mm Pin Headers ROHS",YES,100,10\10,0.0423,4.23
C2687116,USBLC6-2SC6,"UMW(Youtai Semiconductor Co., Ltd.)",GC_CONTROLLER,SOT-23-6,15V 6V SOT-23-6 ESD and Surge Protection (TVS/ESD) ROHS,YES,100,20\20,0.0277,2.77
C410527,AS0BC21-S40BE-7H,FOXCONN,REMOTE_START,"SMD,P=0.5mm,Surface Mount，Right Angle","SMD,P=0.5mm,Surface Mount，Right Angle Hard Disk Connector (SAS/SATA/M.2) ROHS",YES,10,1\1,0.4391,4.39
C107110,CC0805JRNPO9BN150,YAGEO,FEEDER,0805,50V 15pF NP0 ±5% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,500,100\100,0.0064,3.20
C2918489,CS2012X5R475K250NRE,Samwha Capacitor,FEEDER,0805,25V 4.7uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,500,50\50,0.007,3.50
C5189822,CS2012X7R106M100NRE,Samwha Capacitor,FEEDER,0805,10V 10uF X7R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,500,50\50,0.0048,2.40
C72478,RVT1V101M0607,ROQANG,FEEDER,"SMD,D6.3xL7.7mm","100uF 35V 69mA@120Hz ±20% SMD,D6.3xL7.7mm Aluminum Electrolytic Capacitors - SMD ROHS",YES,100,20\20,0.0307,3.07
C310845,VT1V471M1010,ROQANG,,"SMD,D10xL10.2mm","470uF 35V 286mA@120Hz ±20% SMD,D10xL10.2mm Aluminum Electrolytic Capacitors - SMD ROHS",YES,100,5\5,0.0814,8.14
C1743,0805B471K500NT,FH (Guangdong Fenghua Advanced Tech),FEEDER,0805,50V 470pF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,1000,100\100,0.0038,3.80
C2930231,FRC0805J103TS,FOJAN,FEEDER,0805,125mW Thick Film Resistors 150V ±100ppm/℃ ±5% 10kΩ 0805 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0008,4.00
