Index,DigiKey Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,MCP2515-I/SO-ND,MCP2515-I/SO,IC CAN CONTROLLER W/SPI 18SOIC,GCART,3,0,$2.44000,$7.32
2,490-8231-1-ND,GRM1555C1H8R0CA01D,CAP CER 8PF 50V C0G/NP0 0402,GCART,100,0,$0.01580,$1.58
3,Z12698-ND,G5LE-1 DC48,RELAY GEN PURPOSE SPDT 10A 48V,GCART,2,0,$1.53000,$3.06
4,296-21929-1-ND,TXB0104PWR,IC TRANSLATOR BIDIR 14TSSOP,PICOTAG,10,0,$0.84900,$8.49
5,1276-1075-1-ND,CL31A106KAHNNNE,CAP CER 10UF 25V X5R 1206,PICOTAG,50,0,$0.07700,$3.85
,,,,,,,Subtotal,$24.30
