LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Order Price($)
C21190,0603WAF1001T5E,UNI-ROYAL(Uniroyal Elec),STOCK,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 1kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0006,3.00
C3017744,SCR0603J470R,VO,,0603,100mW Thick Film Resistors 75V ±5% 470Ω 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0005,2.50
C965798,XL-1608SURC-04,XINGLIGHT,,0603,20mA 360mcd Colorless Transparent Lens 615nm~625nm -20℃~+85℃ Positive Stick Red 120° 50mW 2.4V 0603 LED Indication - Discrete ROHS,YES,4000,100\100,0.0029,11.60
C2907177,FRC0603J562 TS,FOJAN,,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±5% 5.6kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0005,2.50
C1691,CL10A106MQ8NNNC,Samsung Electro-Mechanics,,0603,6.3V 10uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,1000,50\50,0.0034,3.40
C2933202,FRC0603F3402TS,FOJAN,,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 34kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0005,2.50
C150772,MCP73831-2ACI/MC,Microchip Tech,GPS_MODULE,TDFN-8-EP(2x3),TDFN-8-EP(2x3) Battery Management ROHS,YES,5,1\1,1.4207,7.10
C138335,TPS561208DDCR,Texas Instruments,,TSOT-23-6,Step-down type Adjustable 760mV~7V 1A 4.5V~17V TSOT-23-6 DC-DC Converters ROHS,YES,10,1\1,0.3052,3.05
C1017131,TMS252012ALM-2R2MTAA,TDK,,1008,2.6A 2.2uH ±20% 2.8A 75mΩ 1008 Inductors (SMD) ROHS,YES,20,5\5,0.3354,6.71
C107040,CC0603JRNPO9BN180,YAGEO,,0603,50V 18pF NP0 ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,1000,100\100,0.0022,2.20
