LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Order Price($)
C105620,CC0603JRNPO9BN220,YAGEO,,0603,50V 22pF NP0 ±5% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,400,100\100,0.0023,0.92
C2770951,CQ03WAJ0221T5E,UNI-ROYAL(Uniroyal Elec),GC_CONTROLLER,0603,100mW 75V ±5% 220Ω 0603 Chip Resistor - Surface Mount ROHS,YES,1000,100\100,0.0013,1.30
C111590,0603X105K100NT,FH (Guangdong Fenghua Advanced Tech),,0603,10V 1uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,4000,100\100,0.0023,9.20
C7220,TAJC686K016RNJ,Kyocera AVX,,CASE-C-6032,68uF 16V 1.3Ω@100kHz ±10% CASE-C-6032 Tantalum Capacitors ROHS,YES,50,5\5,0.2759,13.80
C965807,XL-1608UBC-04,XINGLIGHT,,0603,20mA 240mcd Colorless Transparent Lens -20℃~+85℃ Positive Stick 455nm~475nm Blue 120° 70mW 3.3V 0603 LED Indication - Discrete ROHS,YES,4000,100\100,0.0026,10.40
C965799,XL-1608SURC-06,XINGLIGHT,CURRENT_LIMITER,0603,20mA 330mcd Colorless Transparent Lens -20℃~+85℃ Positive Stick 620nm~630nm Red 120° 50mW 2.3V 0603 LED Indication - Discrete ROHS,YES,4000,100\100,0.0018,7.20
C136325,JFC0603-0250FS,Shenzhen JDT Fuse,,0603,50A SMD Fuse 250mA 32V 32V 0603 Disposable fuses ROHS,YES,20,10\10,0.0483,0.97
C1713,CL21A106KOQNNNE,Samsung Electro-Mechanics,,0805,16V 10uF X5R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,2000,20\20,0.0059,11.80
C74308,SDCL1608C39NJTDF,Sunlord,,-,-,-,200,-\-,0.008,1.60
C2929429,CY54-4.7UH,SHOU HAN,,"SMD,5.8x5.2mm","3.1A 4.7uH ±20% 52mΩ SMD,5.8x5.2mm Inductors (SMD) ROHS",YES,20,10\10,0.0338,0.68
C3016374,SCR0603F47K,VO,,0603,100mW Thick Film Resistors 75V ±1% 47kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0006,3.00
C2998136,FRC0603F7150TS,FOJAN,,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 715Ω 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0006,3.00
C1547,0402CG120J500NT,FH (Guangdong Fenghua Advanced Tech),,0402,50V 12pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,10000,100\100,0.0005,5.00
C5440143,CS3225X7R476K160NRL,Samwha Capacitor,INPUT_CART_CONTROLLER,1210,16V 47uF X7R ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,5\5,0.0646,6.46
C602037,CL21A226MAYNNNE,Samsung Electro-Mechanics,INPUT_CART_CONTROLLER CURRENT_LIMITER,0805,25V 22uF X5R ±20% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,YES,100,20\20,0.0248,2.48
C136334,JFC0603-1400FS,Shenzhen JDT Fuse,,0603,50A SMD Fuse 4A 32V 32V 0603 Disposable fuses ROHS,YES,200,10\10,0.0392,7.84
C22549,CSTCE8M00G52-R0,Murata Electronics,CURRENT_LIMITER,SMD3213-3P,8MHz 10pF 40Ω SMD3213-3P Ceramic Resonators ROHS,YES,15,1\1,0.2183,3.27
C9006,X322525MOB4SI,YXC,GC_CONTROLLER,SMD3225-4P,25MHz Surface Mount Crystal 12pF ±10ppm ±20ppm SMD3225-4P Crystals ROHS,YES,50,10\10,0.0638,3.19
C349118,EWWR0010J390RT9,RESI,CURRENT_LIMITER,"Plugin,D9xL36.5mm","Wirewound Resistors 390Ω 10W ±250ppm/℃ ±5% Plugin,D9xL36.5mm Through Hole Resistors ROHS",YES,5,1\1,0.6269,3.13
C10852,C10852,BOOMELE(Boom Precision Elec),GC_CONTROLLER,SMD,5.2mm 1.5mm Round Button 50mA Standing paste 5.2mm SPST 6V SMD Tactile Switches ROHS,YES,200,50\50,0.0189,3.78
C22781,0603WAF1100T5E,UNI-ROYAL(Uniroyal Elec),,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 110Ω 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0007,3.50
C23150,0603WAF3903T5E,UNI-ROYAL(Uniroyal Elec),,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 390kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0007,3.50
C8404,WJ126V-5.0-2P,Ningbo Kangnex Elec,,"Plugin,P=5mm","1x2P 18A -40℃~+105℃ 250V Green 14~26 Direct Insert 5mm 2.5 1 2 Plugin,P=5mm Screw Terminal Blocks ROHS",YES,50,5\5,0.0543,2.72
C894646,SZMMSZ4684T1G,onsemi,FEEDER,SOD-123,Independent Type 3.13V~3.47V 500mW 3.3V SOD-123 Zener Diodes ROHS,YES,50,5\5,0.0776,3.88
C2907137,FRC0603J202 TS,FOJAN,GC_CONTROLLER,0603,100mW Thick Film Resistors 75V ±100ppm/℃ ±5% 2kΩ 0603 Chip Resistor - Surface Mount ROHS,YES,5000,100\100,0.0005,2.50
C427380,BSS138,MDD（Microdiode Electronics）,CURRENT_LIMITER,SOT-23,"50V 500mA 1.1Ω@4.5V,0.3A 500mW 1.5V@250uA 1 N-channel SOT-23 MOSFETs ROHS",YES,510,30\30,0.0083,4.23
