Index,DigiKey Part #,Manufacturer Part Number,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,A129830CT-ND,CRGCQ1206F47K,RES 47K OHM 1% 1/4W 1206,,500,0,$0.01636,$8.18
2,13-YC158TJR-0710KLCT-ND,YC158TJR-0710KL,RES ARRAY 8 RES 10K OHM 1206,MAKERMATRIX,250,0,$0.02500,$6.25
3,296-14248-1-ND,CD4014BPWR,IC STATIC SHFT REG 8STG 16-TSSOP,,100,0,$0.26160,$26.16
,,,,,,,Subtotal,$40.59
